Recency,Frequency,Monetary
372,297,5391.21
31,172,3237.54
95,28,948.25
333,3,876.0
25,103,4668.3
7,324,5579.1
16,61,5411.91
0,2366,60632.75
87,67,2005.63
373,13,489.6
50,30,598.83
38,241,80850.84
261,24,389.44
2,963,91062.38
7,28,711.86
373,1,79.6
1,478,28117.04
2,368,17220.36
11,31,2962.5
16,194,3534.69
8,147,832.88
33,308,14758.220000000001
29,84,3084.68
109,6,1659.75
88,180,2995.72
373,54,232.03
4,665,4119.5
33,120,671.95
9,13,399.51
373,14,233.45
330,29,689.95
11,117,3190.55
3,568,65039.62
22,112,1465.12
21,388,7930.54
373,81,265.1
1,123,21086.3
172,108,541.8100000000001
23,404,4058.32
242,17,379.73
57,23,239.92000000000002
39,20,1008.5400000000001
373,71,313.49
0,4412,33053.19
53,122,405.04
185,107,1607.0600000000002
71,12,226.75000000000003
101,65,1049.37
45,39,2043.0800000000002
2,156,734.37
373,9,161.0
71,33,798.99
30,85,2564.5
184,25,518.67
373,5,115.65
36,67,1198.23
7,43,2888.75
373,11,369.5
7,52,363.33
373,27,487.75
99,110,2158.18
3,483,2622.88
373,8,101.55
1,7676,40519.84
80,43,1848.96
275,159,7832.47
9,720,16587.09
1,302,5704.97
21,25,287.59
80,204,2814.7
373,8,256.44
373,65,351.75
311,19,538.8100000000001
4,130,2078.95
2,45,1388.81
60,9,357.77
0,197,25977.16
30,252,4726.8
143,97,1603.99
94,29,622.4300000000001
11,164,7276.900000000001
373,22,311.81
28,143,2709.7000000000003
373,14,205.86
1,2677,12076.15
128,10,180.85
217,143,2247.51
10,126,6717.34
373,28,102.78999999999999
8,155,8910.82
0,78,6479.4
11,59,1400.34
281,104,1077.39
372,18,303.97
372,3,38.1
39,405,2626.6
372,17,208.97
8,32,1308.6100000000001
372,1,244.08
21,45,5112.96
2,252,8694.26
1,134,4690.31
372,10,350.06
11,410,6776.56
11,304,6127.43
190,48,1024.1000000000001
10,186,3212.84
11,96,1421.29
11,458,4097.37
24,183,4416.26
372,1,106.2
211,91,1522.75
29,84,1567.48
10,284,4642.57
290,25,787.15
100,77,1810.77
4,81,2000.86
175,17,340.93
4,202,6140.42
372,21,127.08
372,9,207.5
26,122,1049.06
372,16,326.0
148,22,363.65
9,259,3546.71
18,173,4812.42
8,109,20275.61
73,115,1836.0900000000001
10,240,4748.52
21,76,984.91
23,136,562.41
31,98,463.21
29,72,2272.4
25,29,550.06
372,13,248.1
82,140,1285.04
311,16,319.5
372,57,321.79
18,250,885.8
372,17,311.25
51,86,1215.82
22,218,4006.94
16,127,3155.83
0,439,11025.24
212,14,294.12
22,63,962.39
372,1,15.0
7,165,4331.48
3,403,54534.14
58,35,592.9
4,476,12416.11
177,152,675.64
57,140,757.1
26,117,2720.8
15,208,1906.09
29,42,697.55
2,66,1258.06
7,250,17286.86
58,60,1011.9
3,305,11189.91
17,158,2999.46
67,7,4507.01
157,35,447.64000000000004
127,39,621.23
1,740,5593.39
372,3,50.550000000000004
1,349,37153.85
372,2,2002.4
222,9,217.9
218,88,1561.6100000000001
372,1,35.400000000000006
39,6,618.52
176,130,1160.04
2,348,3479.91
7,4,52.2
18,108,4597.02
42,117,2053.02
60,49,930.41
80,15,490.86
21,249,1296.44
179,227,1639.82
16,52,1139.73
39,27,7330.8
358,19,1660.9
371,39,754.87
187,37,272.48
4,414,3991.58
5,199,3037.6
371,42,112.27
1,186,742.43
371,3,39.75
25,258,28754.11
3,113,695.0699999999999
4,177,1002.9
1,219,4810.9400000000005
105,102,1905.8400000000001
63,146,2494.46
3,139,37130.6
1,70,58510.48
371,14,230.25
152,128,1817.54
10,259,1122.3600000000001
5,477,2314.13
71,48,3704.87
8,132,2415.91
65,35,725.18
23,96,692.22
2,555,3719.1
7,130,56252.72
65,73,487.99
23,109,1269.31
302,145,758.27
63,99,1841.18
11,1024,28337.38
54,80,288.96999999999997
1,387,8540.05
19,97,7354.62
2,1814,58762.08
5,1128,8778.82
5,165,674.82
7,358,6761.34
58,125,685.74
1,441,8004.92
0,424,4431.44
9,655,2590.31
47,383,4331.79
40,273,3235.25
8,266,16594.35
10,98,3787.6
5,886,4554.87
14,319,6416.7
12,219,1934.66
1,315,5343.28
369,29,152.88
313,69,533.33
40,254,2085.33
3,94,6675.71
10,1263,5625.08
16,72,2198.45
316,26,458.52
40,81,690.0
145,117,1101.1100000000001
12,122,675.64
12,143,1905.87
29,514,3080.39
14,317,3820.27
26,211,2317.2200000000003
185,4,154.82999999999998
7,319,4148.82
369,96,329.03000000000003
369,44,606.0500000000001
306,195,3651.27
5,197,5140.66
2,327,3040.96
2,971,8507.13
215,104,1097.6200000000001
59,148,3160.0
19,44,211.7
264,57,293.45
3,553,6720.41
4,59,2633.85
19,275,1404.07
253,37,258.25
5,459,3810.14
17,295,1960.65
12,887,4794.86
54,37,642.77
156,85,420.07
15,97,1657.28
3,117,2424.94
17,369,34684.4
2,103,4196.01
15,213,10384.93
302,150,921.62
37,325,2599.19
33,100,1449.32
14,23,467.04
16,293,2742.82
12,128,1432.77
1,303,16345.38
45,63,1095.08
0,328,17256.85
368,10,375.69000000000005
1,471,5533.67
2,114,2069.77
3,61,1046.56
29,89,1415.75
22,94,1680.72
74,27,551.04
21,24,1927.3200000000002
368,4,56.25
1,84,1383.83
53,93,1420.2
358,19,290.40000000000003
18,47,939.32
9,1477,19766.59
19,122,525.69
282,19,348.05
40,139,965.16
2,265,4654.08
60,23,694.4000000000001
127,71,889.9300000000001
14,196,1770.22
65,94,381.0
50,242,5049.95
2,28,1126.37
26,157,501.03
3,120,2221.01
368,1,76.32000000000001
23,265,2806.69
7,440,9743.11
2,448,4421.29
368,52,226.45000000000002
33,85,971.76
8,48,627.13
156,326,2592.25
148,116,581.23
11,228,1258.08
17,225,4730.81
198,23,516.36
10,567,9175.04
19,394,2467.99
2,258,2780.63
26,140,1165.48
10,118,2474.33
368,8,123.24
108,251,2298.97
12,296,4552.14
31,499,2718.03
310,48,416.89
2,86,1604.75
11,92,752.4399999999999
28,236,2093.68
3,310,7616.53
71,54,2059.4500000000003
141,29,601.27
7,48,2044.8700000000001
17,82,1844.02
4,271,1951.97
12,133,699.81
11,108,1789.72
8,46,1297.8700000000001
100,73,1200.6200000000001
4,50,2483.63
107,40,428.18
144,81,1724.67
308,35,664.54
8,336,194390.79
2,195,3827.76
44,78,1125.07
173,3,571.1999999999999
336,2,816.0
3,165,3501.1
2,690,13110.02
65,178,1453.16
26,50,1195.94
38,31,496.21000000000004
11,167,33643.08
16,202,9585.91
2,142,5189.52
297,31,576.9000000000001
254,61,770.12
367,29,180.7
1,109,3558.87
3,154,3701.44
17,79,338.62
3,74,1736.4
17,422,8968.31
36,95,860.86
115,115,1641.76
17,111,808.87
9,152,1636.43
1,705,20374.28
2,135,2796.51
4,665,3653.75
59,39,1121.39
367,7,230.39999999999998
21,165,3219.77
4,43,353.65
15,188,1427.57
367,6,87.5
4,60,3902.28
21,118,2248.9900000000002
11,206,4226.57
10,157,1691.51
213,41,632.27
56,42,1178.56
73,157,2203.67
2,314,5591.42
367,7,112.6
367,13,289.35
22,33,504.8
0,431,259657.3
17,51,1540.42
2,270,1865.89
366,2,48.800000000000004
31,26,502.8
3,358,12627.94
2,211,4521.49
14,403,5836.86
4,155,2870.2400000000002
2,331,10611.720000000001
1,246,5149.92
31,17,789.0
8,223,2584.41
16,26,1099.98
333,111,2184.42
2,291,2463.05
29,107,2603.43
58,206,3385.62
1,1132,7975.49
3,119,9817.12
2,143,2975.59
4,382,10504.49
56,223,2799.42
2,183,13027.45
15,293,4483.26
73,38,684.4200000000001
4,140,2099.64
366,4,307.82000000000005
0,460,8338.49
366,45,145.93
8,444,1871.77
22,662,3962.6
2,512,13316.4
24,115,529.29
3,224,1465.51
96,115,2424.04
17,49,986.48
156,157,682.29
0,210,15610.390000000001
71,22,536.6800000000001
60,57,554.86
256,52,4959.1
18,619,6910.78
40,157,2781.23
21,46,2119.41
16,151,1502.8600000000001
366,5,403.25
24,46,1058.34
0,200,12245.960000000001
1,100,2004.98
52,12,1253.3600000000001
24,42,2338.6000000000004
4,77,1371.18
366,3,129.75
366,7,168.6
2,192,4799.9
33,172,3964.88
15,1112,6295.37
120,146,3675.77
9,78,1333.68
256,23,346.6
71,192,1118.96
366,1,590.0
10,99,14389.9
1,111,728.02
205,22,483.8
92,5,1255.0
108,45,422.47
143,19,356.7
37,91,380.39
366,5,201.60000000000002
8,135,2473.37
29,407,12353.29
26,16,920.51
88,127,1032.58
18,242,2358.84
15,12,250.15
8,308,5076.55
8,210,3352.96
10,91,2638.94
23,198,3843.08
8,141,2588.77
8,95,1856.63
212,47,895.61
365,5,63.0
131,70,675.6
25,90,1600.86
2,89,9068.26
4,551,8347.2
5,476,10845.550000000001
8,143,3965.62
257,25,453.0
8,110,8109.5199999999995
10,183,2267.9500000000003
365,14,308.28000000000003
4,54,26879.04
15,4,326.4
365,11,174.4
4,19,1195.8999999999999
204,43,468.77000000000004
8,55,2357.6800000000003
96,67,663.65
253,18,316.25
365,73,367.14
32,14,265.76
186,156,1046.57
365,2,181.0
4,628,16143.64
1,304,6424.09
7,264,2493.34
39,111,1871.81
43,88,2306.52
365,12,300.91999999999996
365,66,414.88
25,13,215.07999999999998
36,17,36.56
16,270,2619.91
15,53,1572.71
219,51,1008.39
326,66,599.97
94,9,243.36
119,51,1044.32
8,36,1690.2600000000002
72,71,482.2
2,91,1474.72
365,17,249.86
22,133,2218.62
38,108,3627.77
3,269,5504.96
60,52,894.4100000000001
100,77,1406.59
232,6,856.6
29,140,928.76
8,402,3564.83
9,338,2662.2
1,342,3251.79
4,587,2755.63
7,619,9024.17
1,390,2367.12
23,299,5488.18
38,115,2285.71
36,25,841.0799999999999
5,215,1987.33
9,258,5447.0
364,26,458.92
106,31,534.85
360,19,365.45
26,189,1964.3
10,202,1051.79
364,29,182.25
310,37,310.06
364,38,190.7
22,73,8625.8
176,28,147.20000000000002
260,53,969.0600000000001
28,71,3599.73
9,64,1153.62
67,371,1403.1100000000001
46,160,3786.2400000000002
128,97,1590.81
5,137,2392.83
59,138,8099.49
29,312,3683.26
3,64,6924.110000000001
51,123,2703.23
312,29,501.39000000000004
364,44,256.32
12,166,4023.7200000000003
75,31,309.04
30,370,10526.32
24,467,3187.55
364,3,173.7
4,279,7123.62
9,111,10464.85
32,122,1477.66
9,20,375.35
362,66,141.04
362,37,269.83
12,626,7069.08
19,1175,4630.35
12,123,859.71
152,248,989.45
12,105,916.13
40,251,1337.18
37,127,800.67
143,2,343.2300000000001
45,92,335.03
245,79,392.4
123,186,1562.4
358,14,322.08
2,463,6309.83
25,390,1201.51
11,84,2474.23
7,695,4910.6
36,504,3080.22
362,22,121.05
362,37,157.92
79,90,594.04
362,9,135.39999999999998
362,25,179.1
19,444,7634.7300000000005
8,43,4301.22
4,20,1785.15
5,67,930.28
17,785,5859.43
154,19,70.02
10,226,3401.2400000000002
3,32,6463.84
361,7,418.92
119,9,254.1
11,101,2314.65
30,321,5891.61
10,208,3901.81
42,193,1957.32
4,138,2969.12
8,144,5398.3
115,6,543.05
236,29,630.84
24,111,2004.3
17,721,6493.54
22,404,3039.17
95,127,3099.12
26,178,1358.74
361,53,250.04
52,172,2984.49
7,567,3961.12
12,531,3124.72
178,80,711.79
361,6,145.0
8,132,1854.06
322,91,586.89
199,69,400.1
17,86,418.4
166,14,228.2
196,53,899.63
1,710,18641.010000000002
10,55,1095.42
241,21,1047.11
19,282,4215.9
36,75,7121.95
360,3,102.0
360,18,365.27
1,171,609.3
23,142,2611.75
31,197,1843.83
10,312,7044.68
26,69,1071.49
2,202,3482.7400000000002
100,31,1317.62
273,29,262.62
23,283,6211.66
3,93,501.28000000000003
26,265,5725.47
4,127,2088.6
360,15,479.35
2,134,5180.52
8,1637,51527.3
32,67,1266.97
7,123,1271.06
22,77,1244.59
1,579,5855.57
66,207,3313.79
173,98,460.59
106,84,1431.93
163,84,5719.82
11,47,2791.35
17,31,700.73
336,11,293.0
32,421,6003.22
4,84,1535.53
24,55,865.0600000000001
26,534,4009.34
4,182,4051.48
8,224,3799.4900000000002
5,123,1814.12
35,26,658.64
10,35,653.33
89,72,1154.4
0,54,2085.08
192,61,517.53
2,276,2519.21
359,10,201.20000000000002
264,69,3638.41
169,41,642.41
31,97,1744.71
155,7,121.0
359,9,422.70000000000005
7,382,9646.57
29,103,2735.37
70,25,477.83
0,157,3641.32
8,8,317.53
86,28,1030.14
240,66,847.41
60,37,747.44
127,46,740.9399999999999
3,33,885.47
21,35,618.09
359,39,290.34
359,5,74.4
35,87,1227.43
105,119,1887.2
89,222,3756.33
60,101,1059.1200000000001
283,58,434.59000000000003
71,57,987.86
35,84,2062.7000000000003
16,301,5159.06
165,30,811.45
4,204,7943.22
359,1,80.64
10,423,10399.74
106,60,383.75
358,10,271.05
17,172,3347.71
66,124,2273.68
1,110,1883.8100000000002
0,169,3989.57
238,33,514.15
15,97,10879.76
4,131,2616.38
269,39,855.02
53,138,3295.76
16,252,4095.9
17,120,5464.12
0,270,14034.99
91,97,1496.98
22,113,1400.44
157,20,7374.900000000001
4,444,6680.11
51,164,752.77
12,122,1476.09
29,190,2213.13
105,35,749.78
3,154,1535.77
9,85,2183.54
1,92,1788.3600000000001
169,194,3703.29
8,117,2352.53
9,140,1417.63
15,196,4921.04
3,125,1936.07
3,136,2322.4
64,151,2938.91
56,100,1553.18
358,25,351.3
26,56,841.41
2,296,5870.08
252,45,215.72
218,7,253.04
358,4,76.55
358,30,476.35
7,214,4076.91
75,44,602.51
3,194,6065.69
2,130,1404.64
4,272,6484.54
25,251,1564.73
103,28,417.06
4,277,66653.56
16,162,2552.21
21,249,4345.5
170,31,693.8100000000001
10,32,1079.6100000000001
247,21,632.4
358,18,540.45
172,133,2628.35
81,51,901.1999999999999
306,56,417.27
198,83,292.01
11,404,5655.91
7,74,2237.77
21,82,42055.96
59,92,1638.47
2,1062,10416.98
183,29,475.28000000000003
1,471,6281.23
3,22,1651.03
357,9,316.58
21,65,716.0
50,52,889.9300000000001
357,4,158.16
357,11,190.55
123,304,3083.65
8,210,4191.0
15,96,450.41
58,58,408.65
103,265,1852.67
303,58,360.81
47,544,2959.88
7,175,2567.06
355,17,193.64
49,89,1824.23
35,30,604.51
354,19,290.51
16,250,3104.17
3,20,1098.48
3,34,1840.42
113,26,6912.0
75,47,924.85
21,26,1379.9
4,61,1974.65
18,162,2428.53
7,106,2662.4
354,56,214.26
15,390,4274.16
1,42,870.12
30,37,1456.96
10,66,8631.31
3,17,1164.55
30,10,1247.5
353,54,1141.24
57,34,575.4
126,206,2097.84
3,212,3923.86
7,20,3515.68
24,62,1949.72
236,64,932.85
351,1,134.55
50,9,913.6800000000001
351,7,172.25
46,42,1021.48
351,21,300.42
22,78,1555.32
67,112,2095.53
339,11,168.3
9,238,4017.54
66,233,1980.57
72,38,1544.13
1,194,3719.12
68,101,824.58
126,19,1737.7
8,147,2702.4900000000002
42,193,3432.8
19,113,859.27
156,36,1030.4
72,47,1224.06
143,16,195.73999999999998
23,59,7792.36
4,62,813.52
317,5,309.8
17,4,6748.8
338,6,119.3
1,234,1926.65
33,254,2242.61
109,208,1116.68
9,201,5090.42
126,73,3613.63
338,155,1044.65
44,242,5228.05
173,27,720.52
23,107,1878.87
9,16,553.44
9,111,12669.98
32,931,5030.07
256,29,623.4
36,296,2358.59
33,89,1592.1200000000001
3,721,2045.53
70,207,1519.42
164,49,379.65
46,87,1611.59
122,82,798.46
17,138,3711.77
337,37,236.02
194,35,865.6
196,17,2139.76
95,32,922.12
194,135,1578.67
164,18,316.11
53,24,1647.26
336,13,104.76
239,13,178.96
185,5,152.4
4,159,5425.56
9,90,1793.17
60,291,1647.48
74,43,605.12
336,10,135.9
234,61,765.55
108,127,2011.88
185,36,710.28
122,79,1688.29
7,94,3957.78
22,74,1324.16
64,47,11581.8
9,43,1591.45
5,123,801.12
40,237,1337.72
5,300,3039.2200000000003
334,14,157.09
58,11,255.9
19,105,480.31
78,116,2247.41
1,47,1106.53
37,103,1187.21
17,69,1515.9
9,235,5010.28
10,925,4034.9
19,38,240.22
75,98,884.14
334,5,73.5
26,433,2898.2599999999998
2,80,1319.91
21,57,1116.47
58,54,1231.31
4,828,7761.82
333,19,332.41
10,123,1530.75
333,29,311.71
218,26,605.8000000000001
51,40,1547.2
44,58,1531.6200000000001
49,136,2965.69
25,162,5360.63
58,139,2332.15
60,21,422.64
206,31,477.79
113,15,355.11
332,8,153.9
332,3,110.95
332,17,252.42000000000002
40,94,2386.05
196,22,437.7
12,465,4767.36
1,212,16225.39
241,166,1259.24
312,21,580.0500000000001
235,10,44534.3
64,210,1921.55
10,87,2073.43
22,70,1177.47
103,31,1375.71
301,6,186.39000000000001
332,29,344.14
9,31,2462.79
18,139,2209.36
29,314,1705.78
40,46,867.31
331,29,492.65000000000003
17,258,3789.52
7,66,1750.92
42,52,837.1
89,76,6115.01
18,371,1580.29
24,71,867.38
331,3,197.65
40,229,3560.32
61,69,990.2
331,5,1289.5
39,50,562.59
0,213,31833.68
117,43,925.35
0,406,4462.68
330,13,201.19
4,11,400.86
8,63,1064.07
44,50,954.09
192,15,284.46000000000004
42,121,3466.36
273,15,386.53
330,9,155.17
330,14,226.37
72,214,1921.3700000000001
60,206,1482.06
330,1,250.0
24,195,1585.46
18,136,1961.52
8,166,2993.1
79,56,1351.63
329,35,534.57
74,49,675.8
318,24,328.35
59,149,3222.3
329,37,421.9
4,501,2557.18
17,258,4975.24
1,186,4098.32
54,63,537.0600000000001
12,113,908.86
88,30,933.7
50,27,330.03
173,72,502.9
26,194,2248.63
12,68,1105.59
14,135,1819.41
33,186,1547.3600000000001
26,457,2009.24
42,378,10196.57
58,61,855.45
40,233,1105.78
88,138,2726.23
57,72,790.86
33,217,2242.36
33,168,2711.11
326,1,165.0
50,194,3672.86
11,38,201.12
3,59,942.34
4,337,9785.970000000001
73,35,5976.79
326,8,146.85
3,218,5298.4800000000005
169,9,842.65
17,126,848.22
326,28,201.16
326,34,216.07
325,1,440.0
40,16,920.1
234,16,280.55
325,1,77183.6
325,12,155.93
138,19,435.02
288,12,702.0
325,7,107.45
1,1667,7436.93
7,137,1224.06
187,34,263.33
324,1,76.32000000000001
61,77,2920.16
28,72,1132.03
58,66,794.64
70,77,1268.98
2,551,5054.42
3,262,2804.54
16,18,292.0
26,15,289.99
112,18,404.58
42,30,463.46000000000004
280,41,386.15
323,10,178.95000000000002
323,11,330.9
56,54,245.81
323,6,97.7
323,14,229.46999999999997
232,52,876.42
28,100,2555.58
322,11,135.75
206,127,2997.0299999999997
322,4,94.36
31,96,2647.59
227,69,1065.3500000000001
10,589,50491.81
322,14,302.0
137,68,591.55
7,129,405.47
212,20,201.37
320,10,153.0
138,103,2944.95
12,304,3957.43
180,40,483.25
23,167,981.51
205,103,1563.0
320,39,158.8
1,372,3213.59
110,113,1009.73
16,313,3107.87
1,218,1594.97
320,24,265.85
10,2,344.0
319,8,155.0
17,15,1262.2
301,36,1140.35
183,10,251.21
319,6,200.10000000000002
3,219,2097.88
15,80,1618.69
319,17,206.98
63,38,784.33
16,16,1267.6499999999999
29,43,1360.99
18,93,2206.95
2,129,2160.7
52,82,743.11
58,105,1453.35
319,4,91.80000000000001
113,8,2207.4
319,28,207.73000000000002
319,66,480.91
318,5,585.0
318,23,417.69
72,149,2867.2
94,79,1201.06
64,106,3099.7200000000003
10,166,5756.89
23,35,996.1
23,80,397.68
318,7,106.83000000000001
70,30,2116.19
2,508,4397.3
318,1,99.5
66,86,574.07
78,109,1316.25
318,122,773.5500000000001
45,128,2166.98
36,126,1299.59
211,33,816.73
31,87,639.02
33,81,2003.85
318,8,302.58
318,7,120.94999999999999
3,338,14589.04
64,14,656.6800000000001
150,4,652.8
74,27,572.451
37,39,773.99
16,478,5578.72
107,41,1801.14
211,18,266.59000000000003
317,10,157.02
242,3,406.08000000000004
49,35,1462.72
17,77,834.12
218,87,1129.06
1,572,28882.44
78,148,877.5600000000001
85,68,266.85
317,11,249.0
36,231,2022.98
151,12,282.59999999999997
36,58,1219.4
22,59,1226.89
49,128,1068.82
66,39,705.12
8,95,1599.52
78,55,1384.85
0,266,1228.88
3,60,1286.27
68,34,1592.06
10,327,2526.09
30,221,5575.56
42,54,1314.45
24,25,578.9
43,112,2380.85
29,192,1131.75
316,17,1308.48
77,114,1681.46
22,20,1936.3200000000002
28,157,741.37
56,125,783.97
275,25,1489.5
92,53,1140.93
66,109,3740.07
134,78,1957.1000000000001
43,25,1280.85
114,165,1475.43
129,28,605.64
1,290,9418.470000000001
8,253,2529.93
84,135,2388.75
25,114,2314.32
267,48,806.41
3,335,6307.650000000001
14,33,523.11
15,46,546.4
299,37,289.78
68,48,327.6
19,102,1740.6
313,8,112.75
313,47,559.61
313,43,403.3
16,208,1875.86
19,608,2429.83
312,15,382.5
23,224,4481.67
312,28,494.64
24,131,2527.92
40,57,646.92
12,221,2861.55
17,89,596.26
176,2,750.0
8,217,6580.44
51,117,2538.3
312,10,177.5
12,168,2079.68
312,74,214.37
107,16,240.0
217,63,309.36
115,30,962.19
312,19,219.52
25,266,2102.54
44,78,1706.57
22,81,1714.59
3,178,17159.52
15,126,3738.4
32,66,1187.66
311,19,178.22
59,174,2610.36
311,21,325.75
23,45,568.55
86,355,7180.7
29,40,276.75
311,18,316.26000000000005
138,60,4599.42
311,8,117.85
112,50,958.71
245,28,433.53000000000003
25,142,1827.8
52,111,1624.14
199,68,1396.99
311,56,289.24
24,97,3408.48
45,342,1320.95
70,24,203.2
31,145,1488.67
266,2,901.2
311,1,35.8
17,35,4199.85
60,90,1835.7
310,4,113.64
255,29,478.53000000000003
310,14,1063.0
94,26,854.95
310,8,154.41
110,16,434.34
8,128,3092.04
36,63,1016.14
122,44,709.71
247,23,362.95
23,27,564.62
32,46,1698.94
310,21,349.27
15,41,2379.49
30,65,2054.36
81,3,523.0
58,53,950.36
176,9,120.9
52,12,173.74
31,13,409.5
151,521,1981.06
302,5,167.25
28,140,2429.03
119,23,389.6
239,35,312.23
1,155,2520.02
7,45,26626.8
309,29,331.24
26,206,646.42
309,33,558.32
50,110,3178.17
309,10,118.0
9,71,952.66
85,37,631.34
92,18,379.35
309,29,475.37
261,88,605.58
58,148,1217.65
302,11,307.02
22,336,6403.25
8,235,2711.6800000000003
11,5,843.0
127,35,730.86
308,11,153.94
308,21,393.49
10,687,3603.29
49,104,1980.56
7,107,1456.79
70,34,1118.99
218,18,611.88
308,1,550.8000000000001
308,23,381.32
59,13,1268.7
57,148,2580.91
4,579,11349.52
43,145,2824.69
306,24,142.4
159,90,665.78
306,9,131.9
306,19,108.07
25,20,345.46
92,189,1100.27
305,25,393.33000000000004
14,79,1135.63
22,306,4544.55
82,265,3502.32
154,33,322.96
